title,combined
Old,"a vacationing family discovers that the secluded beach where they're relaxing for a few hours is somehow causing them to age rapidly, reducing their entire lives into a single day. gaelgarcíabernal vickykrieps rufussewell m.nightshyamalan drama horror mystery"
The French Dispatch,"a love letter to journalists set in an outpost of an american newspaper in a fictional twentieth century french city that brings to life a collection of stories published in ""the french dispatch magazine"". beniciodeltoro adrienbrody tildaswinton wesanderson comedy drama romance"
Malignant,"madison is paralyzed by shocking visions of grisly murders, and her torment worsens as she discovers that these waking dreams are in fact terrifying realities. annabellewallis maddiehasson georgeyoung jameswan crime horror mystery"
Copshop,"on the run from a lethal assassin, a wily con artist devises a scheme to hide out inside a small-town police station-but when the hitman turns up at the precinct, an unsuspecting rookie cop finds herself caught in the crosshairs. frankgrillo gerardbutler tobyhuss joecarnahan action crime thriller"
Cruella,a live-action prequel feature film following a young cruella de vil. emmastone emmathompson joelfry craiggillespie adventure comedy crime
Last Night in Soho,an aspiring fashion designer is mysteriously able to enter the 1960s where she encounters a dazzling wannabe singer. but the glamour is not all it appears to be and the dreams of the past start to crack and splinter into something darker. thomasinmckenzie anyataylor-joy dianarigg edgarwright drama horror mystery
Lamb,"a childless couple, maría and ingvar discover a mysterious newborn on their farm in iceland. the unexpected prospect of family life brings them much joy, before ultimately destroying them. noomirapace hilmirsnærguðnason björnhlynurharaldsson valdimarjóhannsson drama horror mystery"
The Suicide Squad,"supervillains harley quinn, bloodsport, peacemaker and a collection of nutty cons at belle reve prison join the super-secret, super-shady task force x as they are dropped off at the remote, enemy-infused island of corto maltese. margotrobbie idriselba johncena jamesgunn action adventure comedy"
The Addams Family 2,"the addams get tangled up in more wacky adventures and find themselves involved in hilarious run-ins with all sorts of unsuspecting characters. sequel to the 2019 animated film, 'the addams family'. oscarisaac charlizetheron chloëgracemoretz gregtiernan,conradvernon,laurabrousseau,kevinpavlovic animation adventure comedy"
Titane,"following a series of unexplained crimes, a father is reunited with the son who has been missing for 10 years. titane: a metal highly resistant to heat and corrosion, with high tensile strength alloys. vincentlindon agatherousselle garancemarillier juliaducournau drama horror sciencefiction"
The Green Knight,a fantasy retelling of the medieval story of sir gawain and the green knight. devpatel aliciavikander joeledgerton davidlowery adventure drama fantasy
Ghostbusters: Afterlife,"when a single mom and her two kids arrive in a small town, they begin to discover their connection to the original ghostbusters and the secret legacy their grandfather left behind. finnwolfhard mckennagrace carriecoon jasonreitman comedy fantasy"
Antlers,"in an isolated oregon town, a middle-school teacher and her sheriff brother become embroiled with her enigmatic student, whose dark secrets lead to terrifying encounters with a legendary ancestral creature who came before them. kerirussell jesseplemons jeremyt.thomas scottcooper drama horror mystery"
Voyagers,"a crew of astronauts on a multi-generational mission descend into paranoia and madness, not knowing what is real or not. colinfarrell tyesheridan lily-rosedepp neilburger adventure sciencefiction thriller"
Candyman,a sequel to the horror film candyman (1992) that returns to the now-gentrified chicago neighborhood where the legend began. yahyaabdul-mateenii teyonahparris nathanstewart-jarrett niadacosta horror thriller
V/H/S/94,"a police s.w.a.t. team investigates about a mysterious vhs tape and discovers a sinister cult that has pre-recorded material which uncovers a nightmarish conspiracy. annahopkins christianpotenza brianpaul simonbarrett,stevenkostanski,chloeokuno,ryanprows,jenniferreeder,timotjahjanto horror mystery thriller"
Dear Evan Hansen,"film adaptation of the tony and grammy award-winning musical about evan hansen, a high school senior with social anxiety disorder and his journey of self-discovery and acceptance following the suicide of a fellow classmate. benplatt juliannemoore kaitlyndever stephenchbosky drama musical"
After We Fell,"just as tessa makes the biggest decision of her life, everything changes. revelations about her family, and then hardin's, throw everything they knew before in doubt and makes their hard-won future together more difficult to claim. josephinelangford herofiennestiffin louiselombard castillelandon drama"
Kate,a female assassin has 24 hours to get vengeance on her poisoner before she dies. maryelizabethwinstead woodyharrelson mikupatriciamartineau cedricnicolas-troyan action adventure crime
The Manor,"after suffering a mild stroke, judith albright reluctantly moves into a historic nursing home where she becomes convinced a supernatural force is killing the residents. barbarahershey brucedavison nicholasalexander axellecarolyn horror"
Infinite,a man discovers that his hallucinations are actually visions from past lives. markwahlberg chiwetelejiofor sophiecookson antoinefuqua action sciencefiction thriller
F9,dom and the crew must take on an international terrorist who turns out to be dom and mia's estranged brother. vindiesel michellerodriguez jordanabrewster justinlin action adventure crime
The Tender Bar,a boy growing up on long island seeks out father figures among the patrons at his uncle's bar. benaffleck tyesheridan christopherlloyd georgeclooney drama
Cry Macho,"a one-time rodeo star and washed-up horse breeder takes a job to bring a man's young son home and away from his alcoholic mom. on their journey, the horseman finds redemption through teaching the boy what it means to be a good man. clinteastwood dwightyoakam danielv.graulau clinteastwood drama thriller western"
No One Gets Out Alive,"an immigrant in search of the american dream who, after being forced to take a room in a boarding house, finds herself in a nightmare she can't escape. philrobertson joanaborja victoriaalcock santiagomenghini drama horror mystery"
Till Death,"a woman is left handcuffed to her dead husband as part of a sick revenge plot. unable to unshackle, she has to survive as two killers arrive to finish her off. meganfox eoinmacken callanmulvey s.k.dale horror thriller"
Last Man Down,"john wood left the pieces of a broken civilisation behind, to go back to his roots in the woodland, after a virus pandemic struck the world. danielstisen olgakent danielnehme fansunjie action"
Snake Eyes: G.I. Joe Origins,a g.i. joe spin-off centered around the character of snake eyes. henrygolding andrewkoji harukaabe robertschwentke action adventure fantasy
The Voyeurs,"pippa and thomas move into their dream apartment, they notice that their windows look directly into the apartment opposite, this will set in motion a chain of events that will lead to disaster. sydneysweeney justicesmith benhardy michaelmohan drama mystery thriller"
The Starling,"after lilly suffers a loss, a combative starling takes nest beside her quiet home. the feisty bird taunts and attacks the grief-stricken lilly. on her journey to expel the starling, she rediscovers her will to live and capacity for love. melissamccarthy chriso'dowd kevinkline theodoremelfi comedy drama"
The Card Counter,"redemption is the long game in paul schrader's the card counter. told with schrader's trademark cinematic intensity, the revenge thriller tells the story of an ex-military interrogator turned gambler haunted by the ghosts of his past. oscarisaac tiffanyhaddish tyesheridan paulschrader crime drama thriller"
Jungle Cruise,based on disneyland's theme park ride where a small riverboat takes a group of travelers through a jungle filled with dangerous animals and reptiles but with a supernatural element. dwaynejohnson emilyblunt edgarramírez jaumecollet-serra action adventure comedy
The Protégé,"rescued as a child by the legendary assassin moody, anna is the world's most skilled contract killer. however, when moody is brutally killed, she vows revenge for the man who taught her everything she knows. maggieq samuell.jackson michaelkeaton martincampbell action crime thriller"
Distancia de rescate,"it will tell the haunting story of broken souls, toxins, looming environmental and spiritual catastrophes, and the ties that bind a parent to a child. maríavalverde doloresfonzi guillermopfening claudiallosa drama horror mystery"
Wrath of Man,"the plot follows h, a cold and mysterious character working at a cash truck company responsible for moving hundreds of millions of dollars around los angeles each week. jasonstatham holtmccallany joshhartnett guyritchie action crime thriller"
Cinderella,"a modern movie musical with a bold take on the classic fairy tale. our ambitious heroine has big dreams and with the help of her fab godmother, she perseveres to make them come true. camilacabello billyporter nicholasgalitzine kaycannon adventure comedy family"
Gunpowder Milkshake,three generations of women fight back against those who could take everything from them. karengillan lenaheadey carlagugino navotpapushado action crime thriller
Spencer,"during her christmas holidays with the royal family at the sandringham estate in norfolk, england, diana decides to leave her marriage to prince charles. kristenstewart timothyspall jacknielen pablolarraín biography drama romance"
Blue Bayou,"as a korean-american man raised in the louisiana bayou works hard to make a life for his family, he must confront the ghosts of his past as he discovers that he could be deported from the only country he has ever called home. justinchon aliciavikander marko'brien justinchon drama"
Intrusion,"a woman moves to a small town with her husband, but is rattled when she is targeted for a home invasion. freidapinto loganmarshall-green robertjohnburke adamsalky drama thriller"
Ron's Gone Wrong,"the story of barney, an awkward middle-schooler and ron, his new walking, talking, digitally-connected device. ron's malfunctions set against the backdrop of the social media age launch them on a journey to learn about true friendship. jackdylangrazer zachgalifianakis edhelms sarahsmith,jean-philippevine,octavioe.rodriguez animation adventure comedy"
Survive the Game,a man's life on his farm is interrupted when a cop and a pair of dangerous criminals show up. chadmichaelmurray brucewillis swentemmel jamescullenbressack action thriller
Queenpins,"a pair of housewives create a $40 million coupon scam. kristenbell kirbyhowell-baptiste paulwalterhauser arongaudet,gitapullapilly comedy crime"
Cyrano,"too self-conscious to woo roxanne himself, wordsmith cyrano de bergerac helps young christian nab her heart through love letters. haleybennett peterdinklage benmendelsohn joewright drama musical romance"
The Little Things,"kern county deputy sheriff joe deacon is sent to los angeles for what should have been a quick evidence-gathering assignment. instead, he becomes embroiled in the search for a serial killer who is terrorizing the city. denzelwashington ramimalek jaredleto johnleehancock crime drama mystery"
Escape Room: Tournament of Champions,"six people unwillingly find themselves locked in another series of escape rooms, slowly uncovering what they have in common to survive. joining forces with two of the original survivors, they soon discover they've all played the game before. taylorrussell loganmiller deborahannwoll adamrobitel action adventure horror"
Zack Snyder's Justice League,"determined to ensure superman's ultimate sacrifice was not in vain, bruce wayne aligns forces with diana prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions. henrycavill benaffleck galgadot zacksnyder action adventure fantasy"
The Tomorrow War,a family man is drafted to fight in a future war where the fate of humanity relies on his ability to confront the past. chrispratt yvonnestrahovski j.k.simmons chrismckay action adventure drama
Doctor,varun is a military doctor who visits chennai and gets caught up in the pursuit of a missing girl. how varun and six others take on human/organ trafficking lords forms the rest of the story. sivakarthikeyan vinayrai priyankaarulmohan nelsondilipkumar action comedy crime
Shiddat,"two parallel love stories, and how believing with all your heart achieves love. sunnykaushal radhikamadan mohitraina kunaldeshmukh romance"
Nobody,"a docile family man slowly reveals his true character after his house gets burgled by two petty thieves, which, coincidentally, leads him going to a bloody war with a russian crime boss. bobodenkirk alekseyserebryakov connienielsen ilyanaishuller action crime drama"
Needle in a Timestack,"nick and janine live in marital bliss until janine's ex-husband warps time to try to tear them apart. as nick's memories disappear, he must decide what he's willing to sacrifice in order to hold onto - or let go of - everything he loves. leslieodomjr. freidapinto cynthiaerivo johnridley drama fantasy romance"
I onde dager,"a dysfunctional couple head to a remote cabin to reconnect, but each has intentions to kill the other. before they can carry out their plans, unexpected visitors arrive and they faced with a greater danger. noomirapace akselhennie atleantonsen tommywirkola action comedy horror"
Don't Breathe 2,"the sequel is set in the years following the initial deadly home invasion, where norman nordstrom (stephen lang) lives in quiet solace until his past sins catch up to him. stephenlang madelyngrace brendansextoniii rodosayagues action drama horror"
The Power of the Dog,"charismatic rancher phil burbank inspires fear and awe in those around him. when his brother brings home a new wife and her son, phil torments them until he finds himself exposed to the possibility of love. benedictcumberbatch kirstendunst jesseplemons janecampion drama romance western"
Hypnotic,"a young woman seeking self-improvement enlists the help of a renowned hypnotherapist. but after a handful of intense sessions, she discovers unexpected and deadly consequences. katesiegel jasono'mara duléhill mattangel,suzannecoote drama horror thriller"
Fear Street: 1994,a circle of teenage friends accidentally encounter the ancient evil responsible for a series of brutal murders that have plagued their town for over 300 years. welcome to shadyside. kianamadeira oliviascottwelch benjaminfloresjr. leighjaniak drama horror mystery
Pleasure,"19-year-old linnéa leaves her small town life in sweden for los angeles to become jessica, the world's next big porn star. but the road to her goal turns out to be bumpier than she imagined. sofiakappel revikaannereustle evelynclaire ninjathyberg drama"
Ich bin dein Mensch,"in order to obtain research funds for her studies, a scientist accepts an offer to participate in an extraordinary experiment: for three weeks, she is to live with a humanoid robot, created to make her happy. mareneggert danstevens sandrahüller mariaschrader comedy romance sciencefiction"
My Little Pony: A New Generation,"after the time of the mane 6, sunny--a young earth pony--and her new unicorn friend izzy explore their world and strive to restore harmony to equestria. vanessahudgens kimikoglenn jamesmarsden robertcullen,joséluisucha,markfattibene animation adventure comedy"
Pig,a truffle hunter who lives alone in the oregonian wilderness must return to his past in portland in search of his beloved foraging pig after she is kidnapped. nicolascage alexwolff adamarkin michaelsarnoski drama thriller
Mortal Kombat,mma fighter cole young seeks out earth's greatest champions in order to stand against the enemies of outworld in a high stakes battle for the universe. lewistan jessicamcnamee joshlawson simonmcquoid action adventure fantasy
South of Heaven,"convicted felon jimmy gets early parole after serving twelve years for armed robbery. upon his release, he vows to give annie, his childhood love, now dying from cancer, the best last year of her life - unfortunately it's not that simple. jasonsudeikis evangelinelilly mikecolter aharonkeshales action crime drama"
Toma,"biopic about toma zdravkovic, the man who is remembered not only for his songs and unique way he was singing them, but also as a bohemian, both in his behavior and his soul. milanmaric tamaradragicevic petarbencina draganbjelogrlic,zoranlisinac biography drama music"
The Harder They Fall,"when an outlaw discovers his enemy is being released from prison, he reunites his gang to seek revenge in this western. idriselba jonathanmajors reginaking jeymessamuel drama western"
Chehre,"an 80-year-old man with a penchant for real life games in a story about rights and wrongs. it's a story about the decisions one makes in their lifetime and the fact that every decision has its repercussions, hearing and judgment. amitabhbachchan emraanhashmi krystled'souza rumijaffery drama mystery thriller"
No Sudden Move,a group of criminals are brought together under mysterious circumstances and have to work together to uncover what's really going on when their simple job goes completely sideways. doncheadle beniciodeltoro davidharbour stevensoderbergh crime drama mystery
Warning,the meaning of life explored through multiple interconnected lives set in the near future. thomasjane tomaszkot tonigarrn agataalexander sciencefiction thriller
Reminiscence,"nick bannister, a private investigator of the mind, navigates the alluring world of the past when his life is changed by new client mae. a simple case becomes an obsession after she disappears and he fights to learn the truth about her. hughjackman rebeccaferguson thandiwenewton lisajoy mystery romance sciencefiction"
"If I Can't Have Love, I Want Power","the music of halsey's upcoming album, introduces a young pregnant queen, lila, as she wrestles with the chokehold of love to ultimately discover that the ability to create life (and end it) unlocks the paranormal power within her. halsey sashalane vukcelebic colintilley drama fantasy horror"
Sardar Udham,a biopic detailing the 2 decades that punjabi sikh revolutionary udham singh spent planning the assassination of the man responsible for the jallianwala bagh massacre. vickykaushal banitasandhu shaunscott shoojitsircar biography crime drama
Spiral: From the Book of Saw,"a criminal mastermind unleashes a twisted form of justice in spiral, the terrifying new chapter from the book of saw. chrisrock samuell.jackson maxminghella darrenlynnbousman crime horror mystery"
Those Who Wish Me Dead,a teenage murder witness finds himself pursued by twin assassins in the montana wilderness with a survival expert tasked with protecting him -- and a forest fire threatening to consume them all. angelinajolie nicholashoult finnlittle taylorsheridan action crime drama
Luca,"on the italian riviera, an unlikely but strong friendship grows between a human being and a sea monster disguised as a human. jacobtremblay jackdylangrazer emmaberman enricocasarosa animation adventure comedy"
Kin,"ahead of a promotion, a police chief becomes embroiled in a fatal incident and uncovers a grudge-fueled plot that threatens his associates. yilmazerdogan ahmetmümtaztaylan cemyigituzümoglu turkanderya crime drama thriller"
Thalaivi,a biopic on the late tamil nadu chief minister j jayalalithaa. kanganaranaut arvindswamy nassar a.l.vijay biography drama
CODA,"as a coda (child of deaf adults) ruby is the only hearing person in her deaf family. when the family's fishing business is threatened, ruby finds herself torn between pursuing her love of music and her fear of abandoning her parents. emiliajones marleematlin troykotsur sianheder drama music"
Hitman's Wife's Bodyguard,the bodyguard michael bryce continues his friendship with assassin darius kincaid as they try to save darius' wife sonia. ryanreynolds samuell.jackson salmahayek patrickhughes action comedy crime
The Conjuring: The Devil Made Me Do It,the warrens investigate a murder that may be linked to a demonic possession. patrickwilson verafarmiga ruairio'connor michaelchaves horror mystery thriller
Ida Red,"ida ""red"" walker may not survive her terminal illness while incarcerated for armed robbery. she turns to her son, wyatt, for one last job and a chance to regain her freedom. frankgrillo joshhartnett deborahannwoll johnswab action thriller"
Belfast,a young boy and his working class family experience the tumultuous late 1960s. judidench caitrionabalfe jamiedornan kennethbranagh drama
Rise of the Footsoldier: Origins,"the origin story of how tucker, rolfie, and pat tate unite to form their own firm. vinniejones emmabutt terrystone nicknevern action crime drama"
Stillwater,"a father travels from oklahoma to france to help his estranged daughter, who is in prison for a murder she claims she didn't commit. mattdamon camillecottin abigailbreslin tommccarthy crime drama thriller"
Hotel Transylvania: Transformania,"drac's pack is back, like you've never seen them before in the final chapter of 'hotel transylvania'. brianhull andysamberg selenagomez derekdrymon,jenniferkluska animation adventure comedy"
Madres,"expecting their first child, a mexican-american couple move to a migrant farming community in 1970's california where strange symptoms and terrifying visions threaten their new family. arianaguerra tenochhuerta elpidiacarrillo ryanzaragoza horror"
Godzilla vs. Kong,the epic next chapter in the cinematic monsterverse pits two of the greatest icons in motion picture history against one another - the fearsome godzilla and the mighty kong - with humanity caught in the balance. alexanderskarsgård milliebobbybrown rebeccahall adamwingard action sciencefiction thriller
Space Jam: A New Legacy,"a rogue artificial intelligence kidnaps the son of famed basketball player lebron james, who then has to work with bugs bunny to win a basketball game. lebronjames doncheadle cedricjoe malcolmd.lee animation adventure comedy"
He's All That,"a teenage girl sets out to give a nebbish classmate the ultimate high school makeover. an updated remake of the 1999 film, 'she's all that'. addisonrae tannerbuchanan madisonpettis markwaters comedy romance"
Fear Street: 1978,"shadyside, 1978. school's out for summer and the activities at camp nightwing are about to begin. but when another shadysider is possessed with the urge to kill, the fun in the sun becomes a gruesome fight for survival. sadiesink emilyrudd ryansimpkins leighjaniak drama horror mystery"
Nightbooks,"follows alex, a boy obsessed with scary stories who is imprisoned by an evil young witch in her contemporary new york city apartment. winslowfegley lidyajewett krystenritter davidyarovesky family fantasy horror"
Army of the Dead,"following a zombie outbreak in las vegas, a group of mercenaries take the ultimate gamble, venturing into the quarantine zone to pull off the greatest heist ever attempted. davebautista ellapurnell anadelareguera zacksnyder action crime horror"
Werewolves Within,feature adaptation of the video game where werewolves attack a small town. samrichardson milanavayntrub georgebasil joshruben comedy horror
Benedetta,"a 17th-century nun in italy suffers from disturbing religious and erotic visions. she is assisted by a companion, and the relationship between the two women develops into a romantic love affair. virginieefira charlotterampling daphnepatakia paulverhoeven biography drama history"
Chaos Walking,two unlikely companions embark on a perilous adventure through the badlands of an unexplored planet as they try to escape a dangerous and disorienting reality where all thoughts are seen and heard by everyone. tomholland daisyridley demiánbichir dougliman action adventure fantasy
Raya and the Last Dragon,"in a realm known as kumandra, a re-imagined earth inhabited by an ancient civilization, a warrior named raya is determined to find the last dragon. kellymarietran awkwafina gemmachan donhall,carloslópezestrada,paulbriggs,johnripa animation action adventure"
American Insurrection,"set in a dystopian america where all people who aren't straight, white, christian and cis gender are kept track of by the government with bar codes. nadinemalouf nickwestrate brandonperea williamsullivan drama"
PAW Patrol: The Movie,ryder and the pups are called to adventure city to stop mayor humdinger from turning the bustling metropolis into a state of chaos. tylerperry ronpardo willbrisbin calbrunker animation adventure comedy
Friendzone,hopeful romantic thibault believes his luck could change when sparks fly between him and rose. but can he go from bestie to boyfriend. constancearnoult manonazem nadabelka charlesvantieghem comedy romance
The Forever Purge,all the rules are broken as a sect of lawless marauders decides that the annual purge does not stop at daybreak and instead should never end. anadelareguera tenochhuerta joshlucas everardogout action horror thriller
Red Rocket,"mikey saber is a washed-up porn star who returns to his small texas hometown, not that anyone really wants him back. simonrex breeelrod brendadeiss seanbaker comedy drama"
The Lost Daughter,a woman's beach vacation takes a dark turn when she begins to confront the troubles of her past. oliviacolman dakotajohnson petersarsgaard maggiegyllenhaal drama
Mass,aftermath of a violent tragedy that affects the lives of two couples in different ways. jasonisaacs marthaplimpton anndowd frankranz drama
The Ghosts of Borley Rectory,harry price investigates the ghosts of borley rectory during his stay there. tobywynn-davies juliansands colinbaker stevenm.smith drama horror mystery
Sweet Girl,"a devastated husband vows to bring justice to the people responsible for his wife's death while protecting the only family he has left, his daughter. jasonmomoa isabelamerced manuelgarcia-rulfo brianandrewmendoza action drama thriller"
Wrong Turn,"friends hiking the appalachian trail are confronted by 'the foundation', a community of people who have lived in the mountains for hundreds of years. charlottevega adainbradley billsage mikep.nelson horror thriller"
Prisoners of the Ghostland,a notorious criminal must break an evil curse in order to rescue an abducted girl who has mysteriously disappeared. nicolascage sofiaboutella nickcassavetes sionsono action horror sciencefiction
Lansky,"when the aging meyer lansky is investigated by the feds, who suspect he has stashed away millions of dollars over half a century, the retired gangster reveals the untold truth about his life as the boss of the national crime syndicate. harveykeitel samworthington johnmagaro eytanrockaway biography crime drama"
Verdens verste menneske,"the chronicles of four years in the life of julie, a young woman who navigates the troubled waters of her love life and struggles to find her career path, leading her to take a realistic look at who she really is. renatereinsve andersdanielsenlie mariagraziadimeo joachimtrier comedy drama"
The Survivalist,"a year and a half after the fall of civilization due to a viral outbreak, a former fbi agent forced to protect a young woman immune to the disease from a dangerous gang leader hunting her. jonathanrhysmeyers johnmalkovich jennaleighgreen jonkeeyes action thriller"
My Son,"driving in the heart of the highlands, edmond murray receives a call from his ex-wife, in tears. their 7-year-old son went missing from a campsite. soon it becomes clear that the child was kidnapped and the parents give way to despair. jamesmcavoy clairefoy tomcullen christiancarion crime drama mystery"
Sanak,"sanak is an action-thriller film, summarizing the emotion and journey of a lone hero, who fights overwhelming odds in a restricted environment, to save his wife and other unfortunates, helpless hostages, from the perils of evil. vidyutjammwal rukminimaitra nehadhupia kanishkvarma action thriller"
The Boss Baby: Family Business,"the templeton brothers have become adults and drifted away from each other, but a new boss baby with a cutting-edge approach is about to bring them together again - and inspire a new family business. alecbaldwin jamesmarsden amysedaris tommcgrath animation adventure comedy"
Bhoot Police,two brothers whose job is to hunt and eradicate ghosts for money is assigned a project in a remote village saifalikhan arjunkapoor jacquelinefernandez pawankripalani comedy horror
Night Teeth,"a college student moonlighting as a chauffeur picks up two mysterious women for a night of party-hopping across la. but when he uncovers their bloodthirsty intentions - and their dangerous, shadowy underworld - he must fight to stay alive. jorgelendeborgjr. debbyryan lucyfry adamrandall action crime drama"
Bergman Island,a couple retreat to the island that inspired ingmar bergman to write screenplays for their upcoming films when the lines between reality and fiction start to blur. vickykrieps timroth gracedelrue miahansen-løve drama
Aileen Wuornos: American Boogeywoman,"based on aileen wuornos's early life, america's most notorious female serial killer, back in 1976 a young aileen arrives in florida searching for a new life that will help her escape her ...                see full summary » peytonlist tobinbell lydiahearst danielfarrands drama horror thriller"
The Mauritanian,mohamedou ould slahi fights for freedom after being detained and imprisoned without charge by the u.s. government for years. taharrahim nouhehamadybari saadnahamoud kevinmacdonald drama thriller
Shershaah,"this is a story of a pvc awardee brave indian soldier - capt. vikram batra, who shot to fame and became a household name during the kargil war in 1999. his indomitable spirit and his unflinching courage in chasing the pakistani soldiers out of indian territory contributed immensely in india finally winning the kargil war in 1999. sidharthmalhotra kiaraadvani shivpanditt vishnuvardhan action biography drama"
The Tragedy of Macbeth,"a scottish lord becomes convinced by a trio of witches that he will become the next king of scotland, and his ambitious wife supports him in his plans of seizing power. denzelwashington francesmcdormand alexhassell joelcoen drama history thriller"
In the Heights,"a film version of the broadway musical in which usnavi, a sympathetic new york bodega owner, saves every penny every day as he imagines and sings about a better life. anthonyramos coreyhawkins lesliegrace jonm.chu drama musical romance"
The Eyes of Tammy Faye,"an intimate look at the extraordinary rise, fall and redemption of televangelist tammy faye bakker. jessicachastain andrewgarfield cherryjones michaelshowalter biography drama history"
Mio fratello mia sorella,"when their father's will forces them to live together, siblings nik and tesla and tesla's kids try to overcome their differences to become a family. massimilianocaprara francescocavallo stellaegitto robertocapucci drama"
The Ice Road,"after a remote diamond mine collapses in far northern canada, a ‘big-rig’ ice road driver must lead an impossible rescue mission over a frozen ocean to save the trapped miners. liamneeson marcusthomas laurencefishburne jonathanhensleigh action adventure drama"
Vivo,"vivo, sony pictures animation's first-ever musical adventure featuring all-new original songs from lin-manuel miranda, will take audiences on an epic adventure to gorgeous and vibrant locations never before seen in animation. lin-manuelmiranda ynairalysimo zoesaldana kirkdemicco animation adventure comedy"
Jolt,a bouncer with a slightly murderous anger-management problem that she controls with the help of an electrode-lined vest she uses to shock herself back to normalcy whenever she gets homicidal. katebeckinsale jaicourtney stanleytucci tanyawexler action thriller
Way Down,follows a genius engineering graduate who is interested in the bank of spain's safe. freddiehighmore astridbergès-frisbey samriley jaumebalagueró action thriller
The Beta Test,"a married hollywood agent receives a mysterious letter for an anonymous sexual encounter and becomes ensnared in a sinister world of lying, infidelity, and digital data. jimcummings virginianewcomb pjmccabe jimcummings,pjmccabe horror thriller"
The Medium,a horrifying story of a shaman's inheritance in the isan region of thailand. what could be possessing a family member might not be the goddess they make it out to be. narilyagulmongkolpech sawaneeutoomma siraniyankittikan banjongpisanthanakun horror
SAS: Red Notice,a small army of well trained criminals led by grace lewis have hijacked a train deep beneath the english channel. samheughan rubyrose andyserkis magnusmartens action thriller
Hiacynt,"poland, 1985: not satisfied with the result of a murder investigation, a young officer in communist warsaw sets out on his own to discover the truth. tomaszzietek hubertmilkowski marekkalita piotrdomalewski crime drama"
Willy's Wonderland,"a quiet drifter is tricked into a janitorial job at the now condemned willy's wonderland. the mundane tasks suddenly become an all-out fight for survival against wave after wave of demonic animatronics. fists fly, kicks land, titans clash -- and only one side will make it out alive. nicolascage emilytosta bethgrant kevinlewis action comedy horror"
Annette,a stand-up comedian and his opera singer wife have a two-year-old daughter with a surprising gift. adamdriver marioncotillard simonhelberg leoscarax drama musical romance
Birds of Paradise,two girls at an elite parisian ballet academy have their bond and bodies tested as they compete for a contract to join the company of the opéra national de paris. dianasilvers kristinefroseth jacquelinebisset sarahadinasmith drama
Out of Death,a corrupt sheriff's department in a rural mountain town comes undone when an unintended witness throws a wrench into their shady operation. jaimeking brucewillis lalakent mikeburns crime thriller
Vacation Friends,"a couple meets up with another couple while on vacation in mexico, but their friendship takes an awkward turn when they get back home. lilrelhowery yvonneorji johncena claytarver adventure comedy"
Eiffel,"the government is asking eiffel to design something spectacular for the 1889 paris world fair, but eiffel simply wants to design the subway. suddenly, everything changes when eiffel crosses paths with a mysterious woman from arun's past. romainduris emmamackey pierredeladonchamps martinbourboulon biography drama history"
The Woman in the Window,"an agoraphobic woman living alone in new york begins spying on her new neighbors, only to witness a disturbing act of violence. amyadams garyoldman anthonymackie joewright crime drama mystery"
King Richard,a look at how tennis superstars venus and serena williams became who they are after the coaching from their father richard williams. jonbernthal willsmith tonygoldwyn reinaldomarcusgreen biography drama sport
Army of Thieves,"a prequel, set before the events of army of the dead, which focuses on german safecracker ludwig dieter leading a group of aspiring thieves on a top secret heist during the early stages of the zombie apocalypse. matthiasschweighöfer nathalieemmanuel rubyo.fee matthiasschweighöfer action comedy crime"
Wolf,a high-concept arthouse drama about a boy who believes he is a wolf. lily-rosedepp georgemackay paddyconsidine nathaliebiancheri drama mystery thriller
Aftermath,"a young couple struggling to stay together, when they are offered an amazing deal on a home with a questionable past that would normally be beyond their means. in a final attempt to start fresh as a couple they take the deal. ashleygreene shawnashmore jasonliles peterwinther drama horror mystery"
Madres paralelas,the story of two mothers who give birth the same day. penélopecruz rossydepalma aitanasánchez-gijón pedroalmodóvar drama
C'mon C'mon,a radio journalist embarks on a cross-country trip with his young nephew. joaquinphoenix gabyhoffmann woodynorman mikemills drama
The Last Letter from Your Lover,a pair of interwoven stories set in the past and present follow an ambitious journalist determined to solve the mystery of a forbidden love affair at the center of a trove of secret love letters from 1965. shailenewoodley joealwyn wendynottingham augustinefrizzell drama romance
Things Heard & Seen,"an artist relocates to the hudson valley and begins to suspect that her marriage has a sinister darkness, one that rivals her new home's history. amandaseyfried jamesnorton nataliadyer sharispringerberman,robertpulcini drama horror mystery"
Boku no Hero Academia: World Heroes Mission,"when a cult of terrorists ruins a city by releasing a toxin that causes people's abilities to spiral out of control, japan's greatest heroes spread around the world in an attempt to track down the mastermind and put him to justice. robbiedaymond tetsuinada yûkikaji kenjinagasaki animation action adventure"
The Blazing World,"decades after the accidental drowning of her twin sister, a self-destructive young woman returns to her family home, finding herself drawn to an alternate dimension where her sister may still be alive. carlsonyoung udokier dermotmulroney carlsonyoung adventure comedy fantasy"
Bingo Hell,"in the barrio of oak springs live a strong and stubborn group of elderly friends who refuse to be gentrified. their leader, lupita, keeps them together as a community, a family. but little ...                see full summary » adrianabarraza l.scottcaldwell joshuacalebjohnson gigisaulguerrero comedy fantasy horror"
Everybody's Talking About Jamie,"feature film adaptation of the musical about a teenager from sheffield, england who wants to be a drag queen. maxharwood laurenpatel sarahlancashire jonathanbutterell,dangillespiesells,tommacrae biography comedy drama"
